title,url,icon
Building Usage,/building-usage.html,bi bi-building
Course Reserves,/course-reserves.html,bi bi-book
Digital Collections,/digital-collections.html,bi bi-collection
Electronic Resources,/electronic-resources.html,bi bi-journal-richtext
Fellowships,/fellowships.html,bi bi-award
Geographic Information Systems,/gis.html,bi bi-globe
Instruction and Workshops,/instruction.html,bi bi-mortarboard
Online Catalog,/catalog.html,bi bi-search
Open Publishing,/open-publishing.html,bi bi-journal-text
Physical Circulation,/physical-circulation.html,bi bi-box-seam
Research and Reference Assistance,/research-assistance.html,bi bi-question-circle
Resource Sharing,/resource-sharing.html,bi bi-share
Special Collections & Archives,/special-collections.html,bi bi-archive
Student Employment,/student-employment.html,bi bi-person-workspace
VERSO (Research Information Management),/verso.html,bi bi-diagram-3
Web Properties,/web.html,bi bi-globe2
